Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2017-06-18,597.420959,488.599335,472.978496,1558.99879,591.436412625,124.442463,601.07838985036,762.49480401857,439.6619756821,1673443.280371,1631644.560709,1655512.358623
2017-06-11,597.09825,488.216865,472.683675,1557.99879,591.11117375,124.414575,600.69561610067,762.01005327779,439.3811789235,1670997.080371,1629228.860709,1653074.438623
2017-06-04,596.743919,487.866471,472.388399,1556.998789,590.79414075,124.35552,600.31278566035,761.52523980586,439.10033151478,1668556.850371,1626825.270709,1650641.298623
2017-05-28,596.474688,487.451086,472.073014,1555.998788,590.485184125,124.401674,599.92991338003,761.04036680864,438.81945995136,1666138.140371,1624431.390709,1648229.498623
2017-05-21,596.146117,487.079657,471.773014,1554.998788,590.174504,124.373103,599.54701866052,760.55544376833,438.53859355266,1663732.560371,1622078.670709,1645825.108623
2017-05-14,595.907585,486.660697,471.430506,1553.998788,589.867122625,124.477079,599.16415344119,760.07052549622,438.2577813861,1661326.790371,1619722.460709,1643468.078623
2017-05-07,595.580247,486.290193,471.128348,1552.998788,589.545459625,124.451899,598.78122355154,759.58554399193,437.97690311111,1658922.920371,1617342.710709,1641068.448623
2017-04-30,595.199536,485.970396,470.828856,1551.998788,589.225752875,124.37068,598.39823259063,759.10049923662,437.69596594458,1656524.760371,1614962.960709,1638680.318623
2017-04-23,594.819048,485.667957,470.511783,1550.998788,588.916135,124.307265,598.01524423432,758.61542545072,437.41506301788,1654126.600371,1612627.910709,1636292.868623
2017-04-16,594.561986,485.312025,470.124777,1549.998788,588.6066925,124.437209,597.63229613495,758.1303729956,437.13421927423,1651771.380371,1610298.960709,1633954.698623
2017-04-09,594.272266,484.975576,469.750945,1548.998787,588.281305875,124.521321,597.24935199138,757.64529287578,436.85341110692,1649393.020371,1607961.710709,1631609.768623
2017-04-02,593.989247,484.654821,469.354719,1547.998787,587.950770625,124.634528,596.86638747272,757.16016387841,436.57261106698,1647014.660371,1605616.980709,1629256.818623
2017-03-26,593.687066,484.330833,468.980887,1546.998786,587.610859625,124.706179,596.48342460713,756.67500475345,436.29184446076,1644650.880371,1603294.730709,1626895.688623
2017-03-19,593.334281,483.988658,468.675847,1545.998786,587.2677235,124.658434,596.10045164948,756.18980450556,436.01109879333,1642260.870371,1600958.280709,1624547.238623
2017-03-12,593.022593,483.687359,468.288834,1544.998786,586.929211875,124.733759,595.71744886817,755.70454956172,435.73034817457,1639870.860371,1598603.740709,1622161.978623
2017-03-05,592.722593,483.452359,467.823834,1543.998786,586.583401375,124.898759,595.33438433388,755.21923091831,435.44953774939,1637469.880371,1596242.730709,1619798.998623
2017-02-26,592.343508,483.187653,467.467625,1542.998786,586.220545375,124.875883,594.95131107873,754.73387224121,435.1687499162,1635068.900371,1593889.860709,1617403.038623
2017-02-19,591.958893,482.895345,467.144548,1541.998786,585.84732425,124.814345,594.56823455314,754.24847843825,434.88799066798,1632702.190371,1591567.690709,1615040.218623
2017-02-12,591.627984,482.54989,466.820912,1540.998786,585.465218,124.807072,594.18508169617,753.7630219723,434.60714142,1630350.880371,1589271.080709,1612692.998623
2017-02-05,591.269959,482.184458,466.544369,1539.998786,585.068717375,124.72559,593.80188872242,753.27750600222,434.32627144258,1628051.480371,1586999.430709,1610398.328623
2017-01-29,590.941977,481.854183,466.202626,1538.998786,584.661148,124.739351,593.41865582874,752.79193056528,434.04538109214,1625750.490371,1584732.220709,1608118.778623
2017-01-22,590.626188,481.504901,465.867698,1537.998787,584.240675,124.75849,593.03539108969,752.30629917103,433.7644830083,1623450.940371,1582475.200709,1605820.408623
2017-01-15,590.256109,481.201751,465.540926,1536.998786,583.80495675,124.715183,592.65211705588,751.8206270918,433.4836070199,1621171.670371,1580220.950709,1603548.518623
2017-01-08,589.819745,480.907812,465.271229,1535.998786,583.353131125,124.548516,592.26876830525,751.33489175714,433.20264485331,1618889.570371,1577960.500709,1601273.198623
2017-01-01,589.357739,480.622098,465.018949,1534.998786,582.897534625,124.33879,591.88541296105,750.84911805664,432.92170786541,1616615.750371,1575726.880709,1599002.448623
2016-12-25,588.902043,480.335178,464.761565,1533.998786,582.45107775,124.140478,591.50209723834,750.3633640649,432.64083041173,1614341.930371,1573477.770709,1596752.528623
2016-12-18,588.455979,480.072787,464.47002,1532.998786,582.032037375,123.985959,591.11884546935,749.87767369606,432.36001724258,1612069.370371,1571224.000709,1594493.868623
2016-12-11,588.009404,479.84265,464.146732,1531.998786,581.637811375,123.862672,590.73558555038,749.39194350578,432.07922759493,1609791.840371,1569015.070709,1592240.588623
2016-12-04,587.578193,479.538749,463.881845,1530.998787,581.269732875,123.696348,590.35236614183,748.90623436062,431.79849792299,1607550.210371,1566827.630709,1589999.238623
2016-11-27,587.140442,479.227504,463.630841,1529.998787,580.923716125,123.509601,589.96919159215,748.42055345485,431.51782972939,1605336.110371,1564633.120709,1587800.428623
2016-11-20,586.641504,478.947249,463.410034,1528.998787,580.596425,123.23147,589.58611644992,747.93501637892,431.23721652087,1603131.310371,1562460.920709,1585595.708623
2016-11-13,586.174973,478.679501,463.144314,1527.998788,580.301501125,123.030659,589.20310657901,747.44954534861,430.95666780936,1600949.010371,1560360.330709,1583431.508623
2016-11-06,585.786084,478.361723,462.850981,1526.998788,580.033861125,122.935103,588.8202318821,746.96431893315,430.67614483099,1598778.910371,1558276.540709,1581268.248623
2016-10-30,585.54972,477.941268,462.507799,1525.998787,579.779909875,123.041921,588.43744771501,746.47921434302,430.39568108695,1596631.780371,1556182.540709,1579170.308623
2016-10-23,585.302171,477.529503,462.167113,1524.998787,579.518320625,123.135058,588.05474063993,745.99420063739,430.11528064243,1594476.990332,1554052.450621,1577030.878691
2016-10-16,585.064776,477.145049,461.788962,1523.998787,579.251925,123.275814,587.67207604776,745.50921109151,429.83494100396,1592327.800391,1551937.73065,1574886.588652
2016-10-09,584.810059,476.73703,461.451698,1522.998787,578.978423375,123.358361,587.28940267884,745.02418103004,429.55462432759,1590158.200293,1549808.890562,1572747.40872
2016-10-02,584.522113,476.303994,461.17268,1521.998787,578.69230525,123.349433,586.90669707859,744.5390580234,429.27433613373,1587982.900244,1547664.880552,1570587.67874
2016-09-25,584.282113,475.915105,460.801569,1520.998787,578.40306475,123.480544,586.52399147834,744.05393501676,428.99404793986,1585802.910254,1545525.310484,1568416.308623
2016-09-18,584.033853,475.546195,460.418738,1519.998786,578.10659025,123.615115,586.14122940492,743.56874773745,428.71371107234,1583637.800147,1543405.410582,1566253.188506
2016-09-11,583.754474,475.184776,460.059536,1518.998786,577.80208575,123.694938,585.75851057845,743.0835856872,428.43343546964,1581449.93003,1541286.290465,1564127.418486
2016-09-04,583.457006,474.767054,459.774726,1517.998786,577.48822225,123.68228,585.37583473687,742.59844839178,428.15322108191,1579262.059913,1539129.200377,1561941.258574
2016-08-28,583.171006,474.368354,459.459526,1516.998886,577.16545925,123.71148,584.99316759547,742.11328787794,427.87304731294,1577074.119913,1536972.110377,1559770.398574
2016-08-21,582.876763,473.958972,459.163151,1515.998886,576.839624625,123.713612,584.61049832389,741.62809273643,427.5929039113,1574880.699913,1534803.610377,1557594.958574
2016-08-14,582.521114,473.578219,458.899553,1514.998886,576.51442975,123.621561,584.22783857088,741.14287524667,427.31280189504,1572686.889913,1532635.110377,1555412.738574
2016-08-07,582.208189,473.158718,458.631979,1513.998886,576.206228875,123.57621,583.84516188028,740.65761042866,427.03271333184,1570499.229913,1530482.550377,1553237.248574
2016-07-31,581.910317,472.724321,458.364249,1512.998887,575.905459625,123.546068,583.46245382052,740.17228916845,426.75261847254,1568320.939913,1528334.970377,1551073.458574
2016-07-24,581.597817,472.320912,458.080158,1511.998887,575.60713475,123.517659,583.0797576265,739.68694820012,426.47256705283,1566145.31003,1526175.900309,1548906.878496
2016-07-17,581.243566,471.942369,457.812952,1510.998887,575.310162875,123.430614,582.69708064496,739.20159658751,426.19256470236,1563969.68003,1524029.690309,1546733.858496
2016-07-10,580.874902,471.555272,457.568712,1509.998886,575.035283,123.30619,582.31434640165,738.71618009455,425.9125127087,1561813.230079,1521955.670289,1544581.428564
2016-07-03,580.564329,471.132365,457.302192,1508.998886,574.782313125,123.262137,581.93152756035,738.23070101127,425.63235410938,1559704.520118,1519912.980348,1542481.698584
2016-06-26,580.275204,470.755707,456.967974,1507.998885,574.542654625,123.30723,581.54864377846,737.74515647827,425.3521310786,1557591.200118,1517921.300348,1540410.928584
2016-06-19,580.055507,470.327677,456.615701,1506.998885,574.311224125,123.439806,581.16573374209,737.25955818384,425.07190930027,1555490.540206,1515870.930231,1538325.478633
2016-06-12,579.802035,469.956149,456.240701,1505.998885,574.073047875,123.561334,580.78279417631,736.773904213,424.79168413957,1553369.990157,1513806.830133,1536253.978633
2016-06-05,579.523718,469.512783,455.962384,1504.998885,573.824799125,123.561334,580.39984066258,736.28820494588,424.51147637922,1551250.770186,1511721.730035,1534141.84875
2016-05-29,579.222042,469.104962,455.671881,1503.998885,573.576529875,123.550161,580.01686262293,735.80245287266,424.23127237315,1549147.290206,1509642.800103,1532042.518672
2016-05-22,579.044527,468.576362,455.377995,1502.998884,573.325730375,123.666532,579.63386658007,735.31665237026,423.95108078982,1547052.560226,1507616.890069,1529951.978633
2016-05-15,578.851143,468.110713,455.037028,1501.998884,573.063144625,123.814115,579.25080613961,734.83078608652,423.67082619264,1544969.270187,1505582.400079,1527904.348628
2016-05-08,578.647061,467.62772,454.724103,1500.998884,572.782505875,123.922958,578.86768978278,734.34485470405,423.39052486146,1542884.40007,1503542.950128,1525839.888667
2016-05-01,578.42376,467.154419,454.420705,1499.998884,572.489929,124.003055,578.48451831483,733.85885830763,423.11017832198,1540784.510177,1501497.400079,1523788.76855
2016-04-24,578.150097,466.71409,454.134697,1498.998884,572.17856775,124.0154,578.1013105156,733.37280260276,422.8298184284,1538673.460128,1499419.880059,1521693.618648
2016-04-17,577.816045,466.287366,453.895473,1497.998884,571.861394625,123.920572,577.71806388531,732.88668647708,422.54944129348,1536562.410079,1497353.960137,1519591.218746
2016-04-10,577.537564,465.814792,453.646528,1496.998884,571.546984625,123.891036,577.33479868364,732.40052134225,422.26907602497,1534479.230147,1495320.160088,1517508.798824
2016-04-03,577.215646,465.351322,453.431916,1495.998884,571.232934125,123.78373,576.95146019521,731.91429049475,421.98862989562,1532404.160079,1493277.600029,1515442.138912
2016-03-27,576.943841,464.880734,453.17431,1494.998885,570.93507525,123.769531,576.56808648652,731.42800070965,421.70817226335,1530331.950118,1491255.110039,1513378.188961
2016-03-20,576.606033,464.455678,452.937174,1493.998885,570.636758,123.668859,576.18461957211,730.94165026162,421.42758888255,1528275.35002,1489245.07,1511341.479
2016-03-13,576.306446,464.02386,452.668579,1492.998885,570.343474875,123.637867,575.80111651545,730.45524040005,421.14699263079,1526243.33,1487275.82,1509314.26
2016-03-06,575.93287,463.641172,452.424843,1491.998885,570.060738875,123.508027,575.41761165978,729.96879559492,420.86642772459,1524234.2,1485307.02,1507325.0
2016-02-28,575.612712,463.25382,452.132353,1490.998885,569.802326375,123.480359,575.034104859,729.48231567212,420.58589404583,1522247.69,1483416.02,1505338.55
2016-02-21,575.300765,462.879926,451.818194,1489.998885,569.55621625,123.482571,574.65051648094,728.99577108552,420.3052618763,1520300.99,1481544.58,1503408.75
2016-02-14,575.02516,462.533557,451.440168,1488.998885,569.317758375,123.584992,574.26680249709,728.50909382983,420.02451116429,1518370.31,1479734.48,1501481.93
2016-02-07,574.832775,462.212916,450.953194,1487.998885,569.080775625,123.879581,573.88308851324,728.02241657414,419.74376045228,1516435.05,1477906.02,1499630.07
2016-01-31,574.557303,461.835558,450.606024,1486.998885,568.838008125,123.951279,573.49932182545,727.53567420956,419.4629694413,1514487.85,1476033.79,1497717.54
2016-01-24,574.259768,461.532741,450.206376,1485.998885,568.5940425,124.053392,573.11553509777,727.04888150262,419.18218869287,1512570.86,1474221.5,1495834.59
2016-01-17,574.044558,461.235006,449.719321,1484.998885,568.350402375,124.325237,572.73170170424,726.56202512735,418.90137828109,1510620.53,1472409.21,1493975.26
2016-01-10,573.86557,460.869247,449.264068,1483.998885,568.093213375,124.601502,572.34781401448,726.07510319247,418.62052483643,1508598.59,1470522.8,1492084.98
2016-01-03,573.643831,460.473595,448.881459,1482.998885,567.819936375,124.762372,571.96392321214,725.58814481377,418.33970161047,1506517.03,1468543.75,1490094.72
2015-12-27,573.393102,459.960475,448.645307,1481.998884,567.531536375,124.747795,571.57999849832,725.10109446278,418.05890253381,1504435.47,1466537.82,1488031.36
2015-12-20,573.129298,459.539207,448.330379,1480.998884,567.2257275,124.798919,571.1960737845,724.61404411179,417.77810345716,1502358.75,1464544.56,1485967.07
2015-12-13,572.890635,459.171665,447.936584,1479.998884,566.902403875,124.954051,570.81213225268,724.12694555811,417.4973189472,1500278.42,1462551.3,1483894.0
2015-12-06,572.605578,458.755573,447.637733,1478.998884,566.565456125,124.967845,570.42815435989,723.63978698527,417.21652173446,1498174.15,1460514.77,1481846.38
2015-11-29,572.310647,458.262485,447.425751,1477.998883,566.2215385,124.884896,570.04413213102,723.1525651817,416.93569908029,1496069.88,1458444.48,1479766.87
