Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,0.205000,0.205000,0.205000,0.205000,0.192654,505100
2016-06-07,0.200000,0.200000,0.200000,0.200000,0.187955,68500
2016-06-08,0.205000,0.205000,0.200000,0.200000,0.187955,52000
2016-06-09,0.205000,0.205000,0.205000,0.205000,0.192654,20000
2016-06-10,0.205000,0.205000,0.205000,0.205000,0.192654,20000
2016-06-13,0.200000,0.200000,0.200000,0.200000,0.187955,50000
2016-06-14,0.200000,0.200000,0.200000,0.200000,0.187955,90000
2016-06-15,0.200000,0.200000,0.200000,0.200000,0.187955,0
2016-06-16,0.200000,0.200000,0.200000,0.200000,0.187955,0
2016-06-17,0.200000,0.200000,0.200000,0.200000,0.187955,75000
2016-06-20,0.200000,0.205000,0.195000,0.205000,0.192654,1122900
2016-06-21,0.205000,0.210000,0.200000,0.205000,0.196488,1854400
2016-06-22,0.205000,0.205000,0.205000,0.205000,0.196488,146000
2016-06-23,0.205000,0.205000,0.205000,0.205000,0.196488,5000
2016-06-24,0.205000,0.205000,0.205000,0.205000,0.196488,253600
2016-06-27,0.205000,0.205000,0.200000,0.205000,0.196488,11000
2016-06-28,0.200000,0.200000,0.200000,0.200000,0.191695,520000
2016-06-29,0.200000,0.200000,0.200000,0.200000,0.191695,241500
2016-06-30,0.200000,0.205000,0.199000,0.199000,0.190737,1495000
2016-07-01,0.199000,0.199000,0.199000,0.199000,0.190737,0
2016-07-04,0.200000,0.200000,0.200000,0.200000,0.191695,20000
2016-07-05,0.200000,0.200000,0.200000,0.200000,0.191695,20000
2016-07-07,0.200000,0.200000,0.200000,0.200000,0.191695,0
2016-07-08,0.205000,0.205000,0.205000,0.205000,0.196488,11000
2016-07-11,0.200000,0.200000,0.198000,0.198000,0.189778,49000
2016-07-12,0.200000,0.200000,0.200000,0.200000,0.191695,20100
2016-07-13,0.200000,0.200000,0.200000,0.200000,0.191695,0
2016-07-14,0.200000,0.200000,0.200000,0.200000,0.191695,5000
2016-07-15,0.198000,0.198000,0.197000,0.197000,0.188820,187000
2016-07-18,0.197000,0.197000,0.197000,0.197000,0.188820,110000
2016-07-19,0.200000,0.200000,0.196000,0.196000,0.187861,100400
2016-07-20,0.196000,0.199000,0.196000,0.196000,0.187861,224100
2016-07-21,0.195000,0.196000,0.195000,0.196000,0.187861,260300
2016-07-22,0.196000,0.196000,0.196000,0.196000,0.187861,0
2016-07-25,0.198000,0.198000,0.198000,0.198000,0.189778,10000
2016-07-26,0.199000,0.199000,0.199000,0.199000,0.190737,10000
2016-07-27,0.199000,0.199000,0.190000,0.199000,0.190737,110000
2016-07-28,0.199000,0.199000,0.190000,0.198000,0.189778,308000
2016-07-29,0.194000,0.198000,0.194000,0.198000,0.189778,10100
2016-08-01,0.198000,0.198000,0.198000,0.198000,0.189778,0
2016-08-02,0.186000,0.196000,0.185000,0.191000,0.183069,426700
2016-08-03,0.185000,0.189000,0.185000,0.189000,0.181152,83000
2016-08-04,0.190000,0.193000,0.185000,0.191000,0.183069,401200
2016-08-05,0.186000,0.186000,0.184000,0.184000,0.176360,521100
2016-08-08,0.190000,0.191000,0.185000,0.185000,0.177318,73000
2016-08-10,0.180000,0.189000,0.180000,0.188000,0.180194,190100
2016-08-11,0.188000,0.188000,0.188000,0.188000,0.180194,25000
2016-08-12,0.187000,0.187000,0.187000,0.187000,0.179235,35000
2016-08-15,0.182000,0.188000,0.182000,0.187000,0.179235,83100
2016-08-16,0.187000,0.187000,0.187000,0.187000,0.179235,0
2016-08-17,0.186000,0.189000,0.182000,0.188000,0.180194,171000
2016-08-18,0.181000,0.186000,0.180000,0.180000,0.172526,150100
2016-08-19,0.180000,0.184000,0.175000,0.181000,0.173484,522200
2016-08-22,0.180000,0.184000,0.176000,0.184000,0.176360,145100
2016-08-23,0.180000,0.183000,0.180000,0.180000,0.172526,54800
2016-08-24,0.180000,0.183000,0.180000,0.183000,0.175401,160100
2016-08-25,0.180000,0.180000,0.180000,0.180000,0.172526,63000
2016-08-26,0.180000,0.180000,0.175000,0.180000,0.172526,653800
2016-08-29,0.179000,0.180000,0.179000,0.180000,0.172526,787800
2016-08-30,0.180000,0.180000,0.180000,0.180000,0.172526,435000
2016-08-31,0.180000,0.185000,0.175000,0.178000,0.170609,605700
2016-09-01,0.178000,0.180000,0.175000,0.180000,0.172526,110200
2016-09-02,0.176000,0.177000,0.175000,0.177000,0.169650,154900
2016-09-05,0.176000,0.178000,0.175000,0.178000,0.170609,120100
2016-09-06,0.175000,0.177000,0.171000,0.177000,0.169650,287700
2016-09-07,0.171000,0.176000,0.171000,0.176000,0.168692,25000
2016-09-08,0.176000,0.176000,0.176000,0.176000,0.168692,500000
2016-09-09,0.176000,0.176000,0.176000,0.176000,0.168692,350000
2016-09-13,0.176000,0.178000,0.175000,0.176000,0.168692,439500
